year,areakm,municipality,geocode_ibge,state,municipio,codigo_ibge,gentilico,prefeito,area_km2,populacao_2022,densidade_2022,populacao_estimada_2024,escolarizacao_6a14_2010,idhm_2010,mortalidade_infantil_2022,receitas_2022,despesas_2022,pib_per_capita_2021,desmatamento_per_capita,idhm_cat
2007,684.7060860136418,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,0.004328432536056096,Alto
2008,1.2424613960392064,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,7.854334058457066e-06,Alto
2009,2.9896739671142676,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.889949912202106e-05,Alto
2010,3.828982988405459,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.4205268341501627e-05,Alto
2011,0.8320869368751692,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,5.260114148198151e-06,Alto
2012,2.2409178045443676,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.4166168132502893e-05,Alto
2013,0.4211711114951701,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.6624719415832433e-06,Alto
2014,0.2439393881625319,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.5420852919471257e-06,Alto
2015,0.5861482650246084,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,3.7053902004235996e-06,Alto
2016,0.3856690067861612,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.438042119415892e-06,Alto
2017,1.178923414086653,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,7.452672858160245e-06,Alto
2018,0.6396519103752514,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,4.043618418434087e-06,Alto
2019,0.3401230771782639,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.150119333819657e-06,Alto
2020,1.224493410799275,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,7.740747786173888e-06,Alto
2021,1.6968263946206572,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.0726644212080924e-05,Alto
2022,0.4069212888686356,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,2.5723903764421804e-06,Alto
2023,0.3144634821173946,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,1.987909842196593e-06,Alto
2024,0.5648192609955512,Abaetetuba,1500107,Para,Abaetetuba,1500107,abaetetubense,FRANCINETI MARIA RODRIGUES CARVALHO,1610.646,158188.0,98.21,170999.0,97.7,0.628,20.39,539686175.28,525918634.9,12150.04,3.5705569385512885e-06,Alto
2007,544.029851197815,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.0886619705341941,Alto
2008,2.0430416513672123,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00033295985191773343,Alto
2009,1.0405524217900506,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00016958155505052976,Alto
2010,1.7377752785551128,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.0002832097911595686,Alto
2011,0.4365702380566971,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,7.114899577195193e-05,Alto
2012,0.0,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.0,Alto
2013,0.3560808950352158,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,5.80314366093898e-05,Alto
2014,0.4211885291934384,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,6.864219836920443e-05,Alto
2015,0.1644385884062416,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,2.679898768028709e-05,Alto
2016,0.5040841573761293,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,8.215191613039917e-05,Alto
2017,0.2402553422768378,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,3.915504274394358e-05,Alto
2018,0.9512147374066928,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00015502195850826154,Alto
2019,4.153506027498901,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.0006769077619783085,Alto
2020,1.213128051320839,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00019770665764681208,Alto
2021,2.0720799527669476,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00033769229999461336,Alto
2022,2.7259403528643067,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00044425364290487395,Alto
2023,1.53300483646723,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,0.00024983781559113915,Alto
2024,0.1749114187925102,Abel Figueiredo,1500131,Para,Abel Figueiredo,1500131,abel-figueiredense,MARCONE PEREIRA LACERDA,614.131,6136.0,9.99,6302.0,97.6,0.622,,36930546.7,35237754.55,13998.91,2.8505772293433867e-05,Alto
2007,2244.019933556017,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.03801941503407175,Baixo
2008,47.75979073352992,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.0008091725383923202,Baixo
2009,11.895465461223644,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00020153949242199894,Baixo
2010,30.159612138842373,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.0005109806709052805,Baixo
2011,15.00688320817623,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.0002542548363888015,Baixo
2012,4.814033032697277,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,8.15619848651759e-05,Baixo
2013,18.270716486079618,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.0003095524877773007,Baixo
2014,5.834379091348468,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,9.884924675717039e-05,Baixo
2015,7.007347264517175,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00011872231612281948,Baixo
2016,7.2124247535574435,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00012219685128775975,Baixo
2017,18.538495417554365,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00031408934512909146,Baixo
2018,16.741240950348107,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00028363927537312754,Baixo
2019,18.166062982018424,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00030777939078017764,Baixo
2020,15.66707660532316,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.0002654401945906369,Baixo
2021,10.31394480495364,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.000174744503074287,Baixo
2022,5.708188704906543,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,9.671126010041074e-05,Baixo
2023,8.364741384960636,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.00014172003091948284,Baixo
2024,12.631878651278807,Acara,1500206,Para,Acará,1500206,acaraense,PEDRO PAULO GOUVEA MORAES,4344.387,59023.0,13.59,62701.0,92.9,0.506,13.8,251351271.3,258650177.4,25714.69,0.0002140162081100386,Baixo
2007,27.01422341147496,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0007153243323573404,Baixo
2008,0.1335821939953553,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,3.5371956572317038e-06,Baixo
2009,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2010,1.7319582073245856,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,4.5861464512765404e-05,Baixo
2011,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2012,0.1505112159860355,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,3.985468449252893e-06,Baixo
2013,0.073927829519938,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,1.957575255393565e-06,Baixo
2014,0.1718992149488081,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,4.551812920662203e-06,Baixo
2015,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2016,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2017,0.1205471720891121,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,3.192034213931209e-06,Baixo
2018,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2019,0.1078024793249266,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,2.8545605540825264e-06,Baixo
2020,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2021,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2022,0.1646513047652343,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,4.359891560048571e-06,Baixo
2023,0.2720332688113031,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,7.203317061069855e-06,Baixo
2024,0.0,Afua,1500305,Para,Afuá,1500305,afuaense,HENRIQUE SANDRO LOPES DA CUNHA,8338.438,37765.0,4.53,40246.0,88.4,0.489,18.2,214275354.32,205481063.7,11130.94,0.0,Baixo
2007,4560.947087602705,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.25226477254439744,Médio
2008,22.8745374546865,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0012651845937326604,Médio
2009,10.878467741054644,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0006016851626689516,Médio
2010,7.148321882325579,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00039537178552685726,Médio
2011,7.516241566579344,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00041572132558514074,Médio
2012,5.980333967847805,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0003307706840623786,Médio
2013,5.3008217741897905,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00029318704503262117,Médio
2014,13.49486596775619,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0007463974539688159,Médio
2015,9.54955537115714,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0005281833722985144,Médio
2016,9.046909069018772,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0005003821387731622,Médio
2017,8.363535444862553,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0004625849250477076,Médio
2018,4.6679025830975185,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00025818045260495124,Médio
2019,9.680450448472588,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0005354231442739263,Médio
2020,8.132146407462322,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0004497868588198187,Médio
2021,5.368459518826431,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.0002969280707315504,Médio
2022,4.4998636024630265,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00024888626119817624,Médio
2023,3.9131684349788447,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00021643630724440513,Médio
2024,3.700547921532549,Agua Azul do Norte,1500347,Para,Água Azul do Norte,1500347,agua-azulense,ISVANDIRES MARTINS RIBEIRO,7113.956,18080.0,2.54,17960.0,90.2,0.564,13.7,115214101.61,107951491.0,23136.75,0.00020467632309361443,Médio
2007,2310.9228174078376,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.033309638891964734,Médio
2008,39.557240452888806,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0005701780194140538,Médio
2009,18.50562281987502,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00026674002651995643,Médio
2010,27.531522311243407,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0003968393316407946,Médio
2011,21.86844533365137,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0003152117464527346,Médio
2012,14.859315120477248,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00021418215144035124,Médio
2013,17.811671755966405,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00025673741666498126,Médio
2014,16.442435610656066,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00023700124840589915,Médio
2015,15.128995050669172,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00021806931765093866,Médio
2016,16.199661403271964,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00023350190125361378,Médio
2017,27.468203761223485,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00039592665813199595,Médio
2018,22.030701155927137,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.00031755050169259463,Médio
2019,19.838942749745648,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0002859584984900709,Médio
2020,32.85926484235845,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.000473633406494349,Médio
2021,31.91596844590526,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0004600367332964132,Médio
2022,29.035255061866064,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.000418514133817635,Médio
2023,22.290819892761697,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0003212998528728786,Médio
2024,34.894175607133285,Alenquer,1500404,Para,Alenquer,1500404,alenquerense,HEVERTON DOS SANTOS SILVA,23644.385,69377.0,2.93,74836.0,95.6,0.564,15.15,182053357.5,181977840.3,12988.38,0.0005029646079699798,Médio
2007,1621.784507198834,Almeirim,1500503,Para,Almeirim,1500503,almeiriense,MARIA LUCIDALVA BEZERRA DE CARVALHO,72968.578,34280.0,0.47,36334.0,95.8,0.642,19.2,202173805.64,200206866.1,20220.01,0.04730993311548524,Alto
2008,59.026652078557454,Almeirim,1500503,Para,Almeirim,1500503,almeiriense,MARIA LUCIDALVA BEZERRA DE CARVALHO,72968.578,34280.0,0.47,36334.0,95.8,0.642,19.2,202173805.64,200206866.1,20220.01,0.001721897668569354,Alto
